date,campaign_name,impressions,clicks,cost
2024-03-28,Loyalty Rewards Push,6912,356,852.58
2024-03-29,Loyalty Rewards Push,14128,182,377.55
2024-03-30,Loyalty Rewards Push,7820,170,208.0
2024-03-31,Loyalty Rewards Push,9388,480,496.18
2024-04-01,Loyalty Rewards Push,13972,653,363.82
2024-04-02,Loyalty Rewards Push,12363,244,700.24
2024-04-03,Loyalty Rewards Push,18431,407,1165.25
2024-04-04,Loyalty Rewards Push,7849,450,775.09
2024-04-05,Loyalty Rewards Push,9610,366,748.46
2024-04-06,Loyalty Rewards Push,7938,298,529.47
2024-04-07,Loyalty Rewards Push,19874,734,856.65
2024-04-08,Loyalty Rewards Push,8932,282,654.7
2024-04-09,Loyalty Rewards Push,4826,75,206.36
2024-04-10,Loyalty Rewards Push,13950,576,1148.48
2024-06-21,Product Launch - Aurora,8099,300,613.85
2024-06-22,Product Launch - Aurora,15450,773,2587.78
2024-06-23,Product Launch - Aurora,7477,201,467.06
2024-06-24,Product Launch - Aurora,5082,63,125.38
2024-06-25,Product Launch - Aurora,8195,469,849.22
2024-06-26,Product Launch - Aurora,17689,955,1588.91
2024-06-27,Product Launch - Aurora,6463,351,305.51
2024-06-28,Product Launch - Aurora,7429,418,1067.06
2024-06-29,Product Launch - Aurora,2866,153,368.73
2024-06-30,Product Launch - Aurora,16915,1001,1212.51
2024-07-01,Product Launch - Aurora,10701,370,345.52
2024-07-02,Product Launch - Aurora,8086,332,738.69
2024-07-03,Product Launch - Aurora,9339,329,764.19
2024-07-04,Product Launch - Aurora,2868,145,338.94
2024-07-05,Product Launch - Aurora,19993,567,592.07
2024-07-06,Product Launch - Aurora,15938,237,406.58
2024-07-07,Product Launch - Aurora,14274,710,1839.9
2024-07-08,Product Launch - Aurora,4355,156,451.94
2024-07-09,Product Launch - Aurora,10248,574,1115.32
2024-07-10,Product Launch - Aurora,11457,120,332.73
2024-07-11,Product Launch - Aurora,8271,206,509.39
2024-07-12,Product Launch - Aurora,709,33,92.23
2024-07-13,Product Launch - Aurora,3581,152,378.25
2024-07-14,Product Launch - Aurora,6848,80,156.07
2024-07-15,Product Launch - Aurora,6256,120,410.4
2024-07-16,Product Launch - Aurora,16361,602,439.42
2024-07-17,Product Launch - Aurora,2064,53,86.5
2024-03-31,Holiday Gift Guide,16914,896,703.24
2024-04-01,Holiday Gift Guide,17681,621,371.24
2024-04-02,Holiday Gift Guide,8434,462,1206.31
2024-04-03,Holiday Gift Guide,15460,186,541.48
2024-04-04,Holiday Gift Guide,7599,249,606.05
2024-04-05,Holiday Gift Guide,961,12,23.25
2024-04-06,Holiday Gift Guide,14086,773,863.11
2024-04-07,Holiday Gift Guide,12746,161,400.88
2024-04-08,Holiday Gift Guide,3731,77,133.42
2024-04-09,Holiday Gift Guide,19759,1182,2182.96
2024-04-10,Holiday Gift Guide,14420,194,512.33
2024-04-11,Holiday Gift Guide,7639,379,964.55
2024-04-12,Holiday Gift Guide,6037,286,275.08
2024-04-13,Holiday Gift Guide,13740,311,622.35
2024-04-14,Holiday Gift Guide,11368,196,230.45
2024-04-15,Holiday Gift Guide,15554,157,296.92
2024-04-16,Holiday Gift Guide,3929,65,70.53
2024-04-17,Holiday Gift Guide,2227,126,381.89
2024-04-18,Holiday Gift Guide,6596,66,162.95
2024-04-19,Holiday Gift Guide,13104,204,416.43
2024-04-20,Holiday Gift Guide,2345,89,169.25
2024-04-21,Holiday Gift Guide,19685,200,681.54
2024-04-22,Holiday Gift Guide,19517,307,547.53
2024-04-23,Holiday Gift Guide,7545,373,434.8
2024-04-24,Holiday Gift Guide,653,28,23.36
2024-04-25,Holiday Gift Guide,5078,127,345.97
2024-04-26,Holiday Gift Guide,5953,202,559.75
2024-04-27,Holiday Gift Guide,18696,642,1049.38
2024-04-28,Holiday Gift Guide,11404,231,450.01
2024-04-29,Holiday Gift Guide,3637,174,247.9
2024-04-30,Holiday Gift Guide,14604,179,524.0
2024-05-01,Holiday Gift Guide,12893,706,2299.61
2024-05-02,Holiday Gift Guide,18960,798,1639.19
2024-05-03,Holiday Gift Guide,2141,114,329.96
2024-05-04,Holiday Gift Guide,11422,587,1982.52
2024-05-05,Holiday Gift Guide,10726,273,468.17
2024-05-06,Holiday Gift Guide,12926,611,747.17
2024-05-07,Holiday Gift Guide,2463,37,65.89
2024-05-08,Holiday Gift Guide,11780,242,409.74
2024-05-09,Holiday Gift Guide,10785,389,341.3
2024-05-10,Holiday Gift Guide,6260,356,466.04
2024-05-11,Holiday Gift Guide,7508,420,990.09
2024-05-12,Holiday Gift Guide,12481,583,1819.85
2024-05-13,Holiday Gift Guide,17018,958,3014.86
2024-05-14,Holiday Gift Guide,12866,573,1545.57
2024-05-15,Holiday Gift Guide,9865,406,799.63
2024-05-16,Holiday Gift Guide,16842,623,1663.5
2024-05-17,Holiday Gift Guide,8270,158,497.57
2024-05-18,Holiday Gift Guide,16710,769,824.17
2024-05-05,Flash Sale Weekend,9614,407,672.89
2024-05-06,Flash Sale Weekend,15367,614,1666.58
2024-05-07,Flash Sale Weekend,7056,365,1210.81
2024-05-08,Flash Sale Weekend,17897,704,800.73
2024-05-09,Flash Sale Weekend,5725,59,191.57
2024-05-10,Flash Sale Weekend,10094,349,1111.79
2024-05-11,Flash Sale Weekend,16814,472,247.45
2024-05-12,Flash Sale Weekend,7364,196,265.81
2024-05-13,Flash Sale Weekend,4390,166,138.57
2024-05-14,Flash Sale Weekend,10588,229,769.49
2024-05-15,Flash Sale Weekend,2651,68,114.31
2024-05-16,Flash Sale Weekend,16185,855,529.71
2024-05-17,Flash Sale Weekend,12556,136,145.43
2024-05-18,Flash Sale Weekend,12535,316,492.49
2024-05-19,Flash Sale Weekend,9556,488,1421.63
2024-05-20,Flash Sale Weekend,8360,307,299.73
2024-05-21,Flash Sale Weekend,9527,223,221.15
2024-05-22,Flash Sale Weekend,19119,252,831.24
2024-05-23,Flash Sale Weekend,11141,523,304.36
2024-05-24,Flash Sale Weekend,3200,42,46.74
2024-05-25,Flash Sale Weekend,17586,690,730.73
2024-05-26,Flash Sale Weekend,10762,450,988.53
2024-05-27,Flash Sale Weekend,15053,441,718.02
2024-05-28,Flash Sale Weekend,2760,48,104.86
2024-05-29,Flash Sale Weekend,8430,497,1620.05
2024-05-30,Flash Sale Weekend,19974,498,1324.61
2024-05-31,Flash Sale Weekend,11696,554,1772.16
2024-06-01,Flash Sale Weekend,5659,154,107.27
2024-06-02,Flash Sale Weekend,13347,667,2242.25
2024-06-03,Flash Sale Weekend,12160,589,1655.03
2024-06-04,Flash Sale Weekend,13328,361,978.69
2024-06-05,Flash Sale Weekend,853,12,41.83
2024-06-06,Flash Sale Weekend,6633,84,262.05
2024-06-07,Flash Sale Weekend,2533,38,37.8
2024-06-08,Flash Sale Weekend,12602,554,870.94
2024-06-09,Flash Sale Weekend,10862,250,511.01
2024-06-10,Flash Sale Weekend,4615,93,256.14
2024-06-11,Flash Sale Weekend,3134,86,155.88
2024-06-12,Flash Sale Weekend,9351,311,501.34
2024-06-13,Flash Sale Weekend,13082,181,461.92
2024-06-14,Flash Sale Weekend,6596,151,367.93
2024-06-15,Flash Sale Weekend,7868,310,941.79
2024-06-16,Flash Sale Weekend,9316,121,246.73
2024-06-17,Flash Sale Weekend,9149,450,1091.35
2024-06-18,Flash Sale Weekend,17894,1030,2624.01
2024-06-19,Flash Sale Weekend,19869,855,1186.43
2024-06-20,Flash Sale Weekend,5524,128,173.79
2024-06-21,Flash Sale Weekend,15422,389,778.25
2024-06-22,Flash Sale Weekend,11326,600,1797.54
2024-06-23,Flash Sale Weekend,4602,214,441.28
2024-06-24,Flash Sale Weekend,18787,607,638.61
2024-05-24,Referral Program Boost,3786,209,637.45
2024-05-25,Referral Program Boost,17803,656,1115.13
2024-05-26,Referral Program Boost,1978,88,259.94
2024-05-27,Referral Program Boost,8036,313,158.88
2024-05-28,Referral Program Boost,5642,128,287.61
2024-05-29,Referral Program Boost,17512,226,337.79
2024-05-30,Referral Program Boost,12327,474,1490.9
2024-05-31,Referral Program Boost,17630,480,1385.1
2024-06-01,Referral Program Boost,12764,359,562.96
2024-06-02,Referral Program Boost,7702,244,161.59
2024-06-03,Referral Program Boost,3115,35,114.31
2024-06-04,Referral Program Boost,19526,952,2322.67
2024-06-05,Referral Program Boost,14988,689,1283.93
2024-06-06,Referral Program Boost,14613,457,821.15
2024-06-07,Referral Program Boost,1131,55,176.07
2024-06-08,Referral Program Boost,17102,450,1418.76
2024-06-09,Referral Program Boost,4923,245,709.32
2024-06-10,Referral Program Boost,2339,49,120.54
2024-06-11,Referral Program Boost,15807,693,2186.3
2024-06-12,Referral Program Boost,736,34,114.82
2024-06-13,Referral Program Boost,11680,482,291.33
2024-06-14,Referral Program Boost,896,13,20.23
2024-06-15,Referral Program Boost,4764,54,55.18
2024-06-16,Referral Program Boost,2782,146,484.45
2024-06-17,Referral Program Boost,11501,562,552.45
2024-06-18,Referral Program Boost,16343,693,2312.12
2024-06-19,Referral Program Boost,7018,227,748.0
2024-06-20,Referral Program Boost,6908,387,993.34
2024-06-21,Referral Program Boost,7292,145,335.95
2024-06-22,Referral Program Boost,7310,171,260.29
2024-06-23,Referral Program Boost,5684,268,393.89
2024-06-24,Referral Program Boost,8002,326,966.18
2024-06-25,Referral Program Boost,6991,318,950.21
2024-06-26,Referral Program Boost,19209,421,415.13
2024-06-27,Referral Program Boost,15019,402,355.68
2024-06-28,Referral Program Boost,6597,311,429.1
2024-06-29,Referral Program Boost,18440,476,710.63
2024-06-30,Referral Program Boost,8227,274,823.98
2024-07-01,Referral Program Boost,5571,55,143.27
2024-07-02,Referral Program Boost,4112,110,326.22
2024-07-03,Referral Program Boost,2064,37,84.67
2024-07-04,Referral Program Boost,17752,1003,693.93
2024-07-05,Referral Program Boost,16394,789,1613.34
2024-07-06,Referral Program Boost,7795,159,306.67
2024-07-07,Referral Program Boost,17212,933,524.23
2024-07-08,Referral Program Boost,15243,384,658.46
2024-07-09,Referral Program Boost,19676,706,1749.59
